Entity,Code,Year,Annual CO₂ emissions
North America,,1966,3956438000
North America,,1967,4127059700
North America,,1968,4289614300
North America,,1969,4501617000
North America,,1970,4862468000
North America,,1971,4915923000
North America,,1972,5161898500
North America,,1973,5397118500
North America,,1974,5251302000
North America,,1975,5128300000
North America,,1976,5434773500
North America,,1977,5591318500
North America,,1978,5677352400
North America,,1979,5792685600
North America,,1980,5620345000
North America,,1981,5494563300
North America,,1982,5262526500
North America,,1983,5202269700
North America,,1984,5460077000
North America,,1985,5463630000
North America,,1986,5448310300
North America,,1987,5654344000
North America,,1988,5903791600
North America,,1989,6015954400
North America,,1990,5988813000
North America,,1991,5934663700
North America,,1992,6060854300
North America,,1993,6165800400
North America,,1994,6289066000
North America,,1995,6349006000
North America,,1996,6569387500
North America,,1997,6686240300
North America,,1998,6757986300
North America,,1999,6853051400
North America,,2000,7098336000
North America,,2001,7009264600
North America,,2002,7060732000
North America,,2003,7174326000
North America,,2004,7274384000
North America,,2005,7321313000
North America,,2006,7258981400
North America,,2007,7363736000
North America,,2008,7131514000
North America,,2009,6649442000
North America,,2010,6863159300
North America,,2011,6765769000
North America,,2012,6581796000
North America,,2013,6716956700
North America,,2014,6754753000
North America,,2015,6604084700
North America,,2016,6467170000
North America,,2017,6417920000
North America,,2018,6597806000
North America,,2019,6493359000
